id,genre,title,keywords,hashtags,channel_name
yZH6NYQjlEE,Motivation ,Little girl asks Dr. Abdul Kalam's SUCCESS MANTRA - MUST WATCH,Motivation,#Motivation,@captiontree
Ru8p2DNJCaU,News,palki sharma's reply to a foreign journalist,News update,#indiangdp,@motivationfactory.s23
GmtOXCP5ogE,Knowledge ,What is Recession? | Nitish Rajput |,Recession,#indiangdp,@nitishrajputshorts
ysvzPpgeQ1o,Facts,How silicon valley manipulate every person,Knowledge,#shorts,@nitishrajputshorts
CDFX9HG7yiM,Experiments,Did we just defy the gravity?,teaching,#theoryofphysics #eddycurrent,@Theory_of_Physics
-98U3yhj0Pg,Experiments,Eddy current ,teaching,#eddycurrent #vigyanrecharge #engineering,@VigyanRecharge
TyUi3rnqe30,Experiments,Electromagnet,teaching,#electromagnet #VigyanRecharge #engineering,@VigyanRecharge
MsaE357pgTc,Technology,Modern Car repairment system,Jugaad,#engineering #VigyanRecharge,@VigyanRecharge
x5aCC52Qnz8,Technology,size_impact_protection_system,Jugaad,#vigyanrecharge #science #engineering #vigyan,@VigyanRecharge
xdJxCJRwWao,Motivation ,Motivational Video by Sonu Sharma,Motivation by Sonu Sharama,#shorts Sonu Sharma motivational video,@CryptoRealidea1
ncqHtfcgZNw,Educational,Shocking results 😲,science and fun by ashu sir, #science  #funny  #ashusir #scienceandfun,@scienceandfun
P06djK74VhM,Educational,Is swallowing chewing gum harmful ? | Science experiment,science and fun by ashu sir,#shorts #science #experiment #chemistry,@scienceandfun
xH5ofENKcjQ,Educational,Free Fall Of Paper 😳,science and fun by ashu sir,#scienceexperiment #experiment #shorts #funnyvideo,@scienceandfun
RTmfXvF30oI,Educational,Kya kya chipka sakte hai isse ?,science and fun by ashu sir,#shorts #science #physics #experiment,@scienceandfun
AnAXk58d2NE,Educational,Enjoy karo lekin safety ke saath,science and fun by ashu sir,#science #facts #chemistry,@scienceandfun
cUf-B70Gqfc,Educational,Apna bhi try karlo ghar pe,science and fun by ashu sir,#science #facts #chemistry,@scienceandfun
77xOAp8hDAI,General Knowledge,INDIA'S Stand On ISRAEL Palestine Conflict |, Nitish Rajput , #shorts,@nitishrajputshorts
gBjzk2YOUUk,nature and wildlife,The Cute Superfish 🐠,mortal jellyfish,#nature,@MrScientific
